,index,country_region_code,country_region,adm1,adm2,metro_area,iso_3166_2_code,census_fips_code,place_id,date_heat,retail_rec_heat,grocery_pharm_heat,parks_heat,transit_heat,workplaces_heat,residential_heat,location,control_day,thi_heat,datetime_heat,heat_ID,date_control,retail_rec_control,grocery_pharm_control,parks_control,transit_control,workplaces_control,residential_control,retail_rec_difference,grocery_pharm_difference,parks_difference,transit_difference,workplaces_difference,residential_difference,day_of_week,weekend,datetime_control,thi_control,temp_diff,datetime,Heat Wave Duration,dur_ranking,stage,month,stage_frac,heatwave_dur,mean_elev,coast,HDI_dec,popden_dec,over60_dec,elev_1500m,time_x,rain_standard_control,time_y,rain_standard_heat
0,0,NG,Nigeria,Abia,Aba North,,,,ChIJJ9SHpK2eQhARZRwKEePBcuk,2022-03-07,,-55.0,,,-28.0,,"Aba North, Abia",2022-02-28,39.34771431816952,2022-03-07,5c5f5670-5a05-4cac-a495-22e15d5e3cb2,2022-02-28,,-53.0,,,-29.0,,,-2.0,,,1.0,,0,0,2022-02-28,37.33195410834424,2.015760209825281,2022-03-07,2.0,0.10054377379010332,1.0,2,0.5,False,58.5,0,8,10,7,0,2022-02-28,41.208791208791204,2022-03-07,70.32967032967034
1,1,NG,Nigeria,Abia,Aba North,,,,ChIJJ9SHpK2eQhARZRwKEePBcuk,2022-03-08,,29.0,,,54.0,,"Aba North, Abia",2022-02-22,40.4142146640354,2022-03-08,5c5f5670-5a05-4cac-a495-22e15d5e3cb2,2022-02-22,,23.0,,,41.0,,,6.0,,,13.0,,1,0,2022-02-22,36.6815206739638,3.7326939900715956,2022-03-08,2.0,0.10054377379010332,2.0,2,1.0,False,58.5,0,8,10,7,0,2022-02-22,10.43956043956044,2022-03-08,72.52747252747253
4,4,NG,Nigeria,Abia,Aba South,,,,ChIJcXDuChycQhARUr8yL5GPm98,2022-03-29,36.0,,,164.0,57.0,,"Aba South, Abia",2022-03-15,39.71907297770187,2022-03-29,022e00dc-f8d8-4703-bd34-5fc4bd15da0a,2022-03-15,30.0,,,153.0,51.0,,6.0,,,11.0,6.0,,1,0,2022-03-15,37.64525307549374,2.073819902208129,2022-03-29,3.0,0.27998912452419794,1.0,3,0.3333333333333333,False,57.0,0,8,10,7,0,2022-03-15,70.87912087912088,2022-03-29,54.395604395604394
5,5,NG,Nigeria,Abia,Aba South,,,,ChIJcXDuChycQhARUr8yL5GPm98,2022-03-30,37.0,,,101.0,56.0,,"Aba South, Abia",2022-03-23,39.00903489854605,2022-03-30,022e00dc-f8d8-4703-bd34-5fc4bd15da0a,2022-03-23,30.0,,,90.0,56.0,,7.0,,,11.0,0.0,,2,0,2022-03-23,36.51766247219513,2.491372426350921,2022-03-30,3.0,0.27998912452419794,2.0,3,0.6666666666666666,False,57.0,0,8,10,7,0,2022-03-23,73.07692307692307,2022-03-30,68.68131868131869
6,6,NG,Nigeria,Abia,Aba South,,,,ChIJcXDuChycQhARUr8yL5GPm98,2022-03-31,30.0,,,103.0,52.0,,"Aba South, Abia",2022-03-24,40.29480404324008,2022-03-31,022e00dc-f8d8-4703-bd34-5fc4bd15da0a,2022-03-24,32.0,,,95.0,49.0,,-2.0,,,8.0,3.0,,3,0,2022-03-24,37.13923984103735,3.1555642022027257,2022-03-31,3.0,0.27998912452419794,3.0,3,1.0,False,57.0,0,8,10,7,0,2022-03-24,90.65934065934066,2022-03-31,58.791208791208796
2,2,NG,Nigeria,Abia,Aba South,,,,ChIJcXDuChycQhARUr8yL5GPm98,2022-03-07,-37.0,,,-40.0,-41.0,,"Aba South, Abia",2022-02-28,39.27409701877173,2022-03-07,c3dea604-d0ad-45b8-8dfc-d42a250e7956,2022-02-28,-47.0,,,-13.0,-42.0,,10.0,,,-27.0,1.0,,0,0,2022-02-28,37.23835203382709,2.0357449849446354,2022-03-07,2.0,0.10054377379010332,1.0,2,0.5,False,57.0,0,8,10,7,0,2022-02-28,36.81318681318682,2022-03-07,61.53846153846154
3,3,NG,Nigeria,Abia,Aba South,,,,ChIJcXDuChycQhARUr8yL5GPm98,2022-03-08,22.0,,,134.0,54.0,,"Aba South, Abia",2022-02-22,40.394424862331846,2022-03-08,c3dea604-d0ad-45b8-8dfc-d42a250e7956,2022-02-22,3.0,,,128.0,39.0,,19.0,,,6.0,15.0,,1,0,2022-02-22,36.55440436469186,3.8400204976399834,2022-03-08,2.0,0.10054377379010332,2.0,2,1.0,False,57.0,0,8,10,7,0,2022-02-22,10.989010989010989,2022-03-08,69.78021978021978
316,319,NG,Nigeria,Ebonyi,Abakaliki,,,,ChIJ5ylIygacXBAR8eiyRp6G1_Q,2022-03-07,,,,,44.0,,"Abakaliki, Ebonyi",2022-02-28,39.844848632812536,2022-03-07,2a2686ae-7901-4a65-ae79-f2c861e2676e,2022-02-28,,,,,38.0,,,,,,6.0,,0,0,2022-02-28,37.94286727905278,1.9019813537597585,2022-03-07,3.0,0.27998912452419794,2.0,2,0.6666666666666666,False,49.35110294117647,0,5,8,8,0,2022-02-28,36.81318681318682,2022-03-07,62.08791208791209
317,320,NG,Nigeria,Ebonyi,Abakaliki,,,,ChIJ5ylIygacXBAR8eiyRp6G1_Q,2022-03-08,,,,,57.0,,"Abakaliki, Ebonyi",2022-03-01,41.00303353203672,2022-03-08,2a2686ae-7901-4a65-ae79-f2c861e2676e,2022-03-01,,,,,41.0,,,,,,16.0,,1,0,2022-03-01,38.70261171129019,2.3004218207465286,2022-03-08,3.0,0.27998912452419794,3.0,3,1.0,False,49.35110294117647,0,5,8,8,0,2022-03-01,52.197802197802204,2022-03-08,84.06593406593407
318,321,NG,Nigeria,Ebonyi,Abakaliki,,,,ChIJ5ylIygacXBAR8eiyRp6G1_Q,2022-03-22,,,,,77.0,,"Abakaliki, Ebonyi",2022-03-15,40.767483605278905,2022-03-22,3a7f8c40-d8c2-42e8-9daa-81080c63e21a,2022-03-15,,,,,74.0,,,,,,3.0,,1,0,2022-03-15,37.949911329481374,2.817572275797531,2022-03-22,3.0,0.27998912452419794,1.0,3,0.3333333333333333,False,49.35110294117647,0,5,8,8,0,2022-03-15,60.98901098901099,2022-03-22,65.93406593406593
319,322,NG,Nigeria,Ebonyi,Abakaliki,,,,ChIJ5ylIygacXBAR8eiyRp6G1_Q,2022-03-23,,,,,77.0,,"Abakaliki, Ebonyi",2022-03-16,39.843540191650426,2022-03-23,3a7f8c40-d8c2-42e8-9daa-81080c63e21a,2022-03-16,,,,,71.0,,,,,,6.0,,2,0,2022-03-16,36.93463049994578,2.9089096917046433,2022-03-23,3.0,0.27998912452419794,2.0,3,0.6666666666666666,False,49.35110294117647,0,5,8,8,0,2022-03-16,52.74725274725275,2022-03-23,86.26373626373626
320,323,NG,Nigeria,Ebonyi,Abakaliki,,,,ChIJ5ylIygacXBAR8eiyRp6G1_Q,2022-03-24,,,,,70.0,,"Abakaliki, Ebonyi",2022-03-17,40.51509941948789,2022-03-24,3a7f8c40-d8c2-42e8-9daa-81080c63e21a,2022-03-17,,,,,69.0,,,,,,1.0,,3,0,2022-03-17,38.33294762505429,2.182151794433601,2022-03-24,3.0,0.27998912452419794,3.0,3,1.0,False,49.35110294117647,0,5,8,8,0,2022-03-17,41.208791208791204,2022-03-24,91.20879120879121
321,324,NG,Nigeria,Ebonyi,Abakaliki,,,,ChIJ5ylIygacXBAR8eiyRp6G1_Q,2022-04-07,,,,,67.0,,"Abakaliki, Ebonyi",2022-03-17,41.0454131232368,2022-04-07,546be2b4-1a46-442e-b6a8-6ac86aa296fd,2022-03-17,,,,,69.0,,,,,,-2.0,,3,0,2022-03-17,38.33294762505429,2.7124654981825103,2022-04-07,3.0,0.27998912452419794,3.0,3,1.0,False,49.35110294117647,0,5,8,8,0,2022-03-17,41.208791208791204,2022-04-07,54.395604395604394
324,327,NG,Nigeria,Ebonyi,Abakaliki,,,,ChIJ5ylIygacXBAR8eiyRp6G1_Q,2022-04-05,,,,,79.0,,"Abakaliki, Ebonyi",2022-03-29,40.1853917439779,2022-04-05,546be2b4-1a46-442e-b6a8-6ac86aa296fd,2022-03-29,,,,,70.0,,,,,,9.0,,1,0,2022-03-29,38.37309773763025,1.8122940063476491,2022-04-05,3.0,0.27998912452419794,1.0,3,0.3333333333333333,False,49.35110294117647,0,5,8,8,0,2022-03-29,64.83516483516483,2022-04-05,59.34065934065934
325,328,NG,Nigeria,Ebonyi,Abakaliki,,,,ChIJ5ylIygacXBAR8eiyRp6G1_Q,2022-04-06,,,,,73.0,,"Abakaliki, Ebonyi",2022-03-30,39.78959698147248,2022-04-06,546be2b4-1a46-442e-b6a8-6ac86aa296fd,2022-03-30,,,,,82.0,,,,,,-9.0,,2,0,2022-03-30,38.41228951348202,1.3773074679904553,2022-04-06,3.0,0.27998912452419794,2.0,3,0.6666666666666666,False,49.35110294117647,0,5,8,8,0,2022-03-30,35.714285714285715,2022-04-06,85.16483516483517
322,325,NG,Nigeria,Ebonyi,Abakaliki,,,,ChIJ5ylIygacXBAR8eiyRp6G1_Q,2022-04-01,,,,,77.0,,"Abakaliki, Ebonyi",2022-03-18,41.23539098103844,2022-04-01,b2a352e8-7f2e-4935-be5e-a9b6853dde5c,2022-03-18,,,,,75.0,,,,,,2.0,,4,0,2022-03-18,38.5846231248644,2.650767856174042,2022-04-01,3.0,0.27998912452419794,1.0,3,0.3333333333333333,False,49.35110294117647,0,5,8,8,0,2022-03-18,49.45054945054945,2022-04-01,85.71428571428571
323,326,NG,Nigeria,Ebonyi,Abakaliki,,,,ChIJ5ylIygacXBAR8eiyRp6G1_Q,2022-04-02,,,,,87.0,,"Abakaliki, Ebonyi",2022-03-26,39.91669760810008,2022-04-02,b2a352e8-7f2e-4935-be5e-a9b6853dde5c,2022-03-26,,,,,77.0,,,,,,10.0,,5,1,2022-03-26,38.46224382188589,1.454453786214188,2022-04-02,3.0,0.27998912452419794,2.0,3,0.6666666666666666,False,49.35110294117647,0,5,8,8,0,2022-03-26,19.78021978021978,2022-04-02,79.12087912087912
1324,1332,NG,Nigeria,Rivers,Abua-Odual,,,,ChIJAyNJUOLvaRARULFlgNb65Kw,2022-03-29,,,-45.0,,,,"Abua-Odual, Rivers",2022-03-15,39.3293610830156,2022-03-29,569a9766-3327-488d-bb14-4ecf34476f51,2022-03-15,,,-42.0,,,,,,-3.0,,,,1,0,2022-03-15,36.13142467680435,3.197936406211248,2022-03-29,3.0,0.27998912452419794,1.0,3,0.3333333333333333,False,16.185406698564595,0,9,3,6,0,2022-03-15,71.42857142857143,2022-03-29,65.38461538461539
1325,1333,NG,Nigeria,Rivers,Abua-Odual,,,,ChIJAyNJUOLvaRARULFlgNb65Kw,2022-03-30,,,-51.0,,,,"Abua-Odual, Rivers",2022-03-23,39.655030265687046,2022-03-30,569a9766-3327-488d-bb14-4ecf34476f51,2022-03-23,,,-50.0,,,,,,-1.0,,,,2,0,2022-03-23,37.20831008184528,2.4467201838417623,2022-03-30,3.0,0.27998912452419794,2.0,3,0.6666666666666666,False,16.185406698564595,0,9,3,6,0,2022-03-23,51.098901098901095,2022-03-30,67.03296703296702
1326,1334,NG,Nigeria,Rivers,Abua-Odual,,,,ChIJAyNJUOLvaRARULFlgNb65Kw,2022-03-31,,,-50.0,,,,"Abua-Odual, Rivers",2022-03-24,40.45564833141513,2022-03-31,569a9766-3327-488d-bb14-4ecf34476f51,2022-03-24,,,-47.0,,,,,,-3.0,,,,3,0,2022-03-24,36.95923547896132,3.4964128524538083,2022-03-31,3.0,0.27998912452419794,3.0,3,1.0,False,16.185406698564595,0,9,3,6,0,2022-03-24,95.05494505494505,2022-03-31,52.74725274725275
1320,1328,NG,Nigeria,Rivers,Abua-Odual,,,,ChIJAyNJUOLvaRARULFlgNb65Kw,2022-03-07,,,-53.0,,,,"Abua-Odual, Rivers",2022-02-28,38.75006206451904,2022-03-07,8f1913fd-2e87-4b2e-a7ec-32d45787295a,2022-02-28,,,-67.0,,,,,,14.0,,,,0,0,2022-02-28,37.32850089905758,1.421561165461462,2022-03-07,2.0,0.10054377379010332,1.0,2,0.5,False,16.185406698564595,0,9,3,6,0,2022-02-28,35.714285714285715,2022-03-07,78.57142857142857
1322,1330,NG,Nigeria,Rivers,Abua-Odual,,,,ChIJAyNJUOLvaRARULFlgNb65Kw,2022-03-08,,,-49.0,,,,"Abua-Odual, Rivers",2022-02-22,39.77905031234504,2022-03-08,8f1913fd-2e87-4b2e-a7ec-32d45787295a,2022-02-22,,,-77.0,,,,,,28.0,,,,1,0,2022-02-22,36.45176206316271,3.327288249182331,2022-03-08,2.0,0.10054377379010332,2.0,2,1.0,False,16.185406698564595,0,9,3,6,0,2022-02-22,10.43956043956044,2022-03-08,74.72527472527473
1321,1329,NG,Nigeria,Rivers,Abua-Odual,,,,ChIJAyNJUOLvaRARULFlgNb65Kw,2022-03-14,,,-39.0,,,,"Abua-Odual, Rivers",2022-02-28,38.78781969585119,2022-03-14,93c2a6de-a2e7-40c7-a6c0-29bb4f42495e,2022-02-28,,,-67.0,,,,,,28.0,,,,0,0,2022-02-28,37.32850089905758,1.4593187967936103,2022-03-14,2.0,0.10054377379010332,2.0,2,1.0,False,16.185406698564595,0,9,3,6,0,2022-02-28,35.714285714285715,2022-03-14,69.78021978021978
1323,1331,NG,Nigeria,Rivers,Abua-Odual,,,,ChIJAyNJUOLvaRARULFlgNb65Kw,2022-03-13,,,-41.0,,,,"Abua-Odual, Rivers",2022-03-06,38.713069189162525,2022-03-13,93c2a6de-a2e7-40c7-a6c0-29bb4f42495e,2022-03-06,,,-55.0,,,,,,14.0,,,,6,1,2022-03-06,37.03350763472304,1.6795615544394877,2022-03-13,2.0,0.10054377379010332,1.0,3,0.5,False,16.185406698564595,0,9,3,6,0,2022-03-06,42.30769230769231,2022-03-13,83.51648351648352
476,480,NG,Nigeria,Federal Capital Territory,Abuja Municipal Area Council,,,,ChIJW-O7BX9uThAR44QEKcKVah8,2022-04-08,54.0,65.0,37.0,29.0,59.0,19.0,"Abuja Municipal Area Council, Federal Capital Territory",2022-03-18,38.46730908776964,2022-04-08,20c3b5e8-552b-48e4-90ad-ff627f019c93,2022-03-18,49.0,60.0,51.0,38.0,55.0,17.0,5.0,5.0,-14.0,-9.0,4.0,2.0,4,0,2022-03-18,36.29044769602457,2.1768613917450708,2022-04-08,4.0,0.41158238172920064,4.0,3,1.0,True,446.36461916461917,0,9,9,1,0,2022-03-18,7.142857142857142,2022-04-08,99.45054945054946
479,483,NG,Nigeria,Federal Capital Territory,Abuja Municipal Area Council,,,,ChIJW-O7BX9uThAR44QEKcKVah8,2022-04-05,51.0,61.0,31.0,20.0,49.0,19.0,"Abuja Municipal Area Council, Federal Capital Territory",2022-03-15,37.66465488662071,2022-04-05,20c3b5e8-552b-48e4-90ad-ff627f019c93,2022-03-15,50.0,55.0,45.0,25.0,46.0,16.0,1.0,6.0,-14.0,-5.0,3.0,3.0,1,0,2022-03-15,35.61307083608379,2.051584050536917,2022-04-05,4.0,0.41158238172920064,1.0,3,0.25,True,446.36461916461917,0,9,9,1,0,2022-03-15,37.91208791208791,2022-04-05,64.28571428571429
480,484,NG,Nigeria,Federal Capital Territory,Abuja Municipal Area Council,,,,ChIJW-O7BX9uThAR44QEKcKVah8,2022-04-06,50.0,63.0,35.0,23.0,51.0,20.0,"Abuja Municipal Area Council, Federal Capital Territory",2022-03-16,38.51735009087461,2022-04-06,20c3b5e8-552b-48e4-90ad-ff627f019c93,2022-03-16,47.0,54.0,47.0,24.0,47.0,17.0,3.0,9.0,-12.0,-1.0,4.0,3.0,2,0,2022-03-16,35.25164824265703,3.2657018482175744,2022-04-06,4.0,0.41158238172920064,2.0,3,0.5,True,446.36461916461917,0,9,9,1,0,2022-03-16,71.42857142857143,2022-04-06,79.67032967032966
481,485,NG,Nigeria,Federal Capital Territory,Abuja Municipal Area Council,,,,ChIJW-O7BX9uThAR44QEKcKVah8,2022-04-07,52.0,63.0,31.0,23.0,52.0,20.0,"Abuja Municipal Area Council, Federal Capital Territory",2022-03-17,38.93950079241374,2022-04-07,20c3b5e8-552b-48e4-90ad-ff627f019c93,2022-03-17,50.0,60.0,46.0,24.0,50.0,17.0,2.0,3.0,-15.0,-1.0,2.0,3.0,3,0,2022-03-17,36.35937959719931,2.5801211952144314,2022-04-07,4.0,0.41158238172920064,3.0,3,0.75,True,446.36461916461917,0,9,9,1,0,2022-03-17,35.43956043956044,2022-04-07,84.61538461538461
470,474,NG,Nigeria,Federal Capital Territory,Abuja Municipal Area Council,,,,ChIJW-O7BX9uThAR44QEKcKVah8,2022-03-05,49.0,61.0,38.0,29.0,52.0,12.0,"Abuja Municipal Area Council, Federal Capital Territory",2022-02-26,37.682488433316266,2022-03-05,5f27dafc-bf5b-4723-8b06-306100d0105a,2022-02-26,44.0,57.0,36.0,28.0,45.0,11.0,5.0,4.0,2.0,1.0,7.0,1.0,5,1,2022-02-26,34.01753488259442,3.6649535507218474,2022-03-05,5.0,0.5128874388254486,1.0,2,0.2,True,446.36461916461917,0,9,9,1,0,2022-02-26,20.32967032967033,2022-03-05,86.26373626373626
471,475,NG,Nigeria,Federal Capital Territory,Abuja Municipal Area Council,,,,ChIJW-O7BX9uThAR44QEKcKVah8,2022-03-06,61.0,72.0,54.0,39.0,58.0,14.0,"Abuja Municipal Area Council, Federal Capital Territory",2022-02-27,37.71494596432421,2022-03-06,5f27dafc-bf5b-4723-8b06-306100d0105a,2022-02-27,54.0,72.0,48.0,45.0,52.0,12.0,7.0,0.0,6.0,-6.0,6.0,2.0,6,1,2022-02-27,34.370243028950576,3.3447029353736326,2022-03-06,5.0,0.5128874388254486,2.0,2,0.4,True,446.36461916461917,0,9,9,1,0,2022-02-27,27.472527472527474,2022-03-06,88.46153846153845
472,476,NG,Nigeria,Federal Capital Territory,Abuja Municipal Area Council,,,,ChIJW-O7BX9uThAR44QEKcKVah8,2022-03-07,46.0,58.0,44.0,26.0,45.0,14.0,"Abuja Municipal Area Council, Federal Capital Territory",2022-02-28,38.12710737570743,2022-03-07,5f27dafc-bf5b-4723-8b06-306100d0105a,2022-02-28,41.0,56.0,38.0,30.0,42.0,12.0,5.0,2.0,6.0,-4.0,3.0,2.0,0,0,2022-02-28,35.36214253005504,2.7649648456523934,2022-03-07,5.0,0.5128874388254486,3.0,2,0.6,True,446.36461916461917,0,9,9,1,0,2022-02-28,31.318681318681318,2022-03-07,81.31868131868131
473,477,NG,Nigeria,Federal Capital Territory,Abuja Municipal Area Council,,,,ChIJW-O7BX9uThAR44QEKcKVah8,2022-03-08,51.0,60.0,47.0,22.0,46.0,15.0,"Abuja Municipal Area Council, Federal Capital Territory",2022-03-01,38.376719645964826,2022-03-08,5f27dafc-bf5b-4723-8b06-306100d0105a,2022-03-01,44.0,57.0,38.0,25.0,40.0,12.0,7.0,3.0,9.0,-3.0,6.0,3.0,1,0,2022-03-01,36.109645061003896,2.2670745849609304,2022-03-08,5.0,0.5128874388254486,4.0,3,0.8,True,446.36461916461917,0,9,9,1,0,2022-03-01,15.934065934065933,2022-03-08,71.97802197802197
474,478,NG,Nigeria,Federal Capital Territory,Abuja Municipal Area Council,,,,ChIJW-O7BX9uThAR44QEKcKVah8,2022-03-09,50.0,59.0,52.0,24.0,49.0,15.0,"Abuja Municipal Area Council, Federal Capital Territory",2022-02-23,37.75029435117025,2022-03-09,5f27dafc-bf5b-4723-8b06-306100d0105a,2022-02-23,44.0,60.0,45.0,35.0,41.0,13.0,6.0,-1.0,7.0,-11.0,8.0,2.0,2,0,2022-02-23,33.94505960643932,3.8052347447309245,2022-03-09,5.0,0.5128874388254486,5.0,2,1.0,True,446.36461916461917,0,9,9,1,0,2022-02-23,57.692307692307686,2022-03-09,75.27472527472527
477,481,NG,Nigeria,Federal Capital Territory,Abuja Municipal Area Council,,,,ChIJW-O7BX9uThAR44QEKcKVah8,2022-04-22,44.0,59.0,28.0,-22.0,47.0,22.0,"Abuja Municipal Area Council, Federal Capital Territory",2022-03-18,37.84783599723103,2022-04-22,7083554f-89c9-4580-a915-b6e5b58619b9,2022-03-18,49.0,60.0,51.0,38.0,55.0,17.0,-5.0,-1.0,-23.0,-60.0,-8.0,5.0,4,0,2022-03-18,36.29044769602457,1.5573883012064584,2022-04-22,3.0,0.27998912452419794,1.0,3,0.3333333333333333,False,446.36461916461917,0,9,9,1,0,2022-03-18,7.142857142857142,2022-04-22,90.65934065934066
482,486,NG,Nigeria,Federal Capital Territory,Abuja Municipal Area Council,,,,ChIJW-O7BX9uThAR44QEKcKVah8,2022-04-23,46.0,61.0,18.0,-24.0,55.0,19.0,"Abuja Municipal Area Council, Federal Capital Territory",2022-04-16,38.51470327784877,2022-04-23,7083554f-89c9-4580-a915-b6e5b58619b9,2022-04-16,45.0,67.0,18.0,-29.0,44.0,19.0,1.0,-6.0,0.0,5.0,11.0,0.0,5,1,2022-04-16,35.24985158545342,3.2648516923953466,2022-04-23,3.0,0.27998912452419794,2.0,4,0.6666666666666666,False,446.36461916461917,0,9,9,1,0,2022-04-16,73.07692307692307,2022-04-23,93.4065934065934
483,487,NG,Nigeria,Federal Capital Territory,Abuja Municipal Area Council,,,,ChIJW-O7BX9uThAR44QEKcKVah8,2022-04-24,63.0,78.0,33.0,-24.0,67.0,20.0,"Abuja Municipal Area Council, Federal Capital Territory",2022-03-27,37.66081915961375,2022-04-24,7083554f-89c9-4580-a915-b6e5b58619b9,2022-03-27,79.0,87.0,70.0,50.0,67.0,18.0,-16.0,-9.0,-37.0,-74.0,0.0,2.0,6,1,2022-03-27,36.10562919551494,1.5551899640988083,2022-04-24,3.0,0.27998912452419794,3.0,3,1.0,False,446.36461916461917,0,9,9,1,0,2022-03-27,20.32967032967033,2022-04-24,92.3076923076923
475,479,NG,Nigeria,Federal Capital Territory,Abuja Municipal Area Council,,,,ChIJW-O7BX9uThAR44QEKcKVah8,2022-04-01,57.0,72.0,59.0,29.0,61.0,16.0,"Abuja Municipal Area Council, Federal Capital Territory",2022-03-18,38.0577418335483,2022-04-01,9745d957-38a0-4b7d-89ce-29373d4687ab,2022-03-18,49.0,60.0,51.0,38.0,55.0,17.0,8.0,12.0,8.0,-9.0,6.0,-1.0,4,0,2022-03-18,36.29044769602457,1.7672941375237272,2022-04-01,2.0,0.10054377379010332,1.0,3,0.5,False,446.36461916461917,0,9,9,1,0,2022-03-18,7.142857142857142,2022-04-01,62.637362637362635
478,482,NG,Nigeria,Federal Capital Territory,Abuja Municipal Area Council,,,,ChIJW-O7BX9uThAR44QEKcKVah8,2022-04-02,53.0,73.0,44.0,26.0,59.0,17.0,"Abuja Municipal Area Council, Federal Capital Territory",2022-03-26,37.51632022042564,2022-04-02,9745d957-38a0-4b7d-89ce-29373d4687ab,2022-03-26,63.0,70.0,48.0,33.0,57.0,16.0,-10.0,3.0,-4.0,-7.0,2.0,1.0,5,1,2022-03-26,36.02613170400393,1.4901885164217106,2022-04-02,2.0,0.10054377379010332,2.0,3,1.0,False,446.36461916461917,0,9,9,1,0,2022-03-26,0.5494505494505495,2022-04-02,79.12087912087912
823,828,NG,Nigeria,Kogi,Adavi,,,,ChIJs7aR7S_-RRARcJXvr550g8k,2022-03-21,,,,,101.0,,"Adavi, Kogi",2022-03-14,39.35223844316274,2022-03-21,7e8574b5-6169-4595-8395-609d65816826,2022-03-14,,,,,89.0,,,,,,12.0,,0,0,2022-03-14,37.73094707065162,1.6212913725111235,2022-03-21,2.0,0.10054377379010332,1.0,3,0.5,False,196.57380952380953,0,5,7,2,0,2022-03-14,78.57142857142857,2022-03-21,52.74725274725275
824,829,NG,Nigeria,Kogi,Adavi,,,,ChIJs7aR7S_-RRARcJXvr550g8k,2022-03-22,,,,,71.0,,"Adavi, Kogi",2022-03-15,39.79319334030156,2022-03-22,7e8574b5-6169-4595-8395-609d65816826,2022-03-15,,,,,73.0,,,,,,-2.0,,1,0,2022-03-15,37.564159764183934,2.2290335761176294,2022-03-22,2.0,0.10054377379010332,2.0,3,1.0,False,196.57380952380953,0,5,7,2,0,2022-03-15,73.62637362637363,2022-03-22,69.23076923076923
821,826,NG,Nigeria,Kogi,Adavi,,,,ChIJs7aR7S_-RRARcJXvr550g8k,2022-03-07,,,,,63.0,,"Adavi, Kogi",2022-02-28,39.63453584247169,2022-03-07,8d3fb2c6-dace-4a71-ae42-061bdd440651,2022-02-28,,,,,45.0,,,,,,18.0,,0,0,2022-02-28,36.65853553348121,2.9760003089904785,2022-03-07,4.0,0.41158238172920064,3.0,2,0.75,True,196.57380952380953,0,5,7,2,0,2022-02-28,40.10989010989011,2022-03-07,84.61538461538461
822,827,NG,Nigeria,Kogi,Adavi,,,,ChIJs7aR7S_-RRARcJXvr550g8k,2022-03-08,,,,,54.0,,"Adavi, Kogi",2022-03-01,39.49170536465118,2022-03-08,8d3fb2c6-dace-4a71-ae42-061bdd440651,2022-03-01,,,,,45.0,,,,,,9.0,,1,0,2022-03-01,37.70838340123498,1.7833219634161992,2022-03-08,4.0,0.41158238172920064,4.0,3,1.0,True,196.57380952380953,0,5,7,2,0,2022-03-01,50.54945054945055,2022-03-08,74.17582417582418
825,830,NG,Nigeria,Kogi,Adavi,,,,ChIJs7aR7S_-RRARcJXvr550g8k,2022-04-06,,,,,51.0,,"Adavi, Kogi",2022-03-30,40.27621189753218,2022-04-06,b05740b8-561f-4b38-9a8f-75e6285fdfb9,2022-03-30,,,,,63.0,,,,,,-12.0,,2,0,2022-03-30,38.01586204104957,2.2603498564826054,2022-04-06,3.0,0.27998912452419794,1.0,3,0.3333333333333333,False,196.57380952380953,0,5,7,2,0,2022-03-30,56.59340659340659,2022-04-06,56.043956043956044
826,831,NG,Nigeria,Kogi,Adavi,,,,ChIJs7aR7S_-RRARcJXvr550g8k,2022-04-07,,,,,76.0,,"Adavi, Kogi",2022-02-24,39.95172262191777,2022-04-07,b05740b8-561f-4b38-9a8f-75e6285fdfb9,2022-02-24,,,,,41.0,,,,,,35.0,,3,0,2022-02-24,36.053534083896245,3.8981885380215218,2022-04-07,3.0,0.27998912452419794,2.0,2,0.6666666666666666,False,196.57380952380953,0,5,7,2,0,2022-02-24,30.76923076923077,2022-04-07,76.37362637362637
413,416,NG,Nigeria,Ekiti,Ado-Ekiti,,,,ChIJ_boEEBTlRxARr11V24Orwk4,2022-04-07,,,,,59.0,32.0,"Ado-Ekiti, Ekiti",2022-02-24,37.337349785698834,2022-04-07,002e1bab-eb2d-4602-8097-8ffe020ca347,2022-02-24,,,,,43.0,20.0,,,,,16.0,12.0,3,0,2022-02-24,34.85047340393071,2.486876381768127,2022-04-07,3.0,0.27998912452419794,2.0,2,0.6666666666666666,False,409.33642691415315,0,7,10,8,0,2022-02-24,31.318681318681318,2022-04-07,95.05494505494505
415,418,NG,Nigeria,Ekiti,Ado-Ekiti,,,,ChIJ_boEEBTlRxARr11V24Orwk4,2022-04-08,,,,,63.0,33.0,"Ado-Ekiti, Ekiti",2022-03-04,36.34359518686934,2022-04-08,002e1bab-eb2d-4602-8097-8ffe020ca347,2022-03-04,,,,,52.0,25.0,,,,,11.0,8.0,4,0,2022-03-04,35.217629008823,1.1259661780463333,2022-04-08,3.0,0.27998912452419794,3.0,3,1.0,False,409.33642691415315,0,7,10,8,0,2022-03-04,82.41758241758241,2022-04-08,98.35164835164835
416,419,NG,Nigeria,Ekiti,Ado-Ekiti,,,,ChIJ_boEEBTlRxARr11V24Orwk4,2022-04-06,,,,,59.0,32.0,"Ado-Ekiti, Ekiti",2022-03-30,37.74258189731179,2022-04-06,002e1bab-eb2d-4602-8097-8ffe020ca347,2022-03-30,,,,,61.0,35.0,,,,,-2.0,-3.0,2,0,2022-03-30,34.93158923255078,2.8109926647610095,2022-04-06,3.0,0.27998912452419794,1.0,3,0.3333333333333333,False,409.33642691415315,0,7,10,8,0,2022-03-30,71.42857142857143,2022-04-06,80.76923076923077
