,index,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0_x,datetime_heat,number,spatial_ref,t2m,d2m,rh,thi_heat,adm2,adm1,day,month,year,location_x,datetime_ord,pct,level_0,heatwave,heat_ID,Heat Wave Duration_x,control_day,day_of_week,num_iters,diff,Unnamed: 0_y,country_region_code,country_region,metro_area,iso_3166_2_code,census_fips_code,place_id,date_heat,retail_rec_heat,grocery_pharm_heat,parks_heat,transit_heat,workplaces_heat,residential_heat,location_y,date_control,retail_rec_control,grocery_pharm_control,parks_control,transit_control,workplaces_control,residential_control,location,retail_rec_difference,grocery_pharm_difference,parks_difference,transit_difference,workplaces_difference,residential_difference,weekend,datetime_control,thi_control,temp_diff,datetime,Heat Wave Duration_y,dur_ranking,stage,stage_frac,heatwave_dur,mean_elev,coast,HDI_dec,popden_dec,over60_dec,elev_1500m,time_x,rain_standard_control,time_y,rain_standard_heat
5169,5183,54204,639308,639308,2022-07-28,0.0,0.0,31.138674,9.698893,54.29744,29.198421087020524,Seydisehir,Konya,28,7,2022,"Seydisehir, Konya",738364,0.9738562091503268,56.0,1.0,5cb99cb9-89a9-468f-be5a-169ea7707541,10.0,2022-07-21,3,test,7 days,107735,TR,Turkey,,,,ChIJ-xxP3tXC2hQRQmwe3S4AvxM,2022-07-28,,,,48.0,9.0,-5.0,"Seydisehir, Konya",2022-07-21,,,,47.0,7.0,-5.0,"Seydisehir, Konya",,,,1.0,2.0,0.0,0,2022-07-21,23.897702143742524,5.3007189432779995,2022-07-28,10.0,0.8673867689615721,1.0,0.1,True,1427.752688172043,0,10,6,6,0,2022-07-21,31.16883116883117,2022-07-28,29.87012987012987
5170,5184,54211,639315,639315,2022-08-04,0.0,0.0,31.375603,15.634092,66.50208,29.682265550662343,Seydisehir,Konya,4,7,2022,"Seydisehir, Konya",738371,0.9882352941176472,63.0,1.0,5cb99cb9-89a9-468f-be5a-169ea7707541,,2022-07-21,3,test,14 days,107742,TR,Turkey,,,,ChIJ-xxP3tXC2hQRQmwe3S4AvxM,2022-08-04,,,,,10.0,-3.0,"Seydisehir, Konya",2022-07-21,,,,47.0,7.0,-5.0,"Seydisehir, Konya",,,,,3.0,2.0,0,2022-07-21,23.897702143742524,5.784563406919819,2022-08-04,10.0,0.8673867689615721,8.0,0.8,True,1427.752688172043,0,10,6,6,0,2022-07-21,31.16883116883117,2022-08-04,46.103896103896105
5171,5185,54205,639309,639309,2022-07-29,0.0,0.0,31.38026,9.391547,50.68851,29.228359132673845,Seydisehir,Konya,29,7,2022,"Seydisehir, Konya",738365,0.9751633986928104,57.0,1.0,5cb99cb9-89a9-468f-be5a-169ea7707541,,2022-07-22,4,test,7 days,107736,TR,Turkey,,,,ChIJ-xxP3tXC2hQRQmwe3S4AvxM,2022-07-29,,,,47.0,4.0,-1.0,"Seydisehir, Konya",2022-07-22,,,,58.0,-1.0,-3.0,"Seydisehir, Konya",,,,-11.0,5.0,2.0,0,2022-07-22,25.460922534649228,3.7674365980246165,2022-07-29,10.0,0.8673867689615721,2.0,0.2,True,1427.752688172043,0,10,6,6,0,2022-07-22,19.480519480519483,2022-07-29,33.116883116883116
5172,5186,54212,639316,639316,2022-08-05,0.0,0.0,31.972443,17.077847,88.502594,30.46627598949992,Seydisehir,Konya,5,7,2022,"Seydisehir, Konya",738372,1.0,64.0,1.0,5cb99cb9-89a9-468f-be5a-169ea7707541,,2022-07-22,4,test,14 days,107743,TR,Turkey,,,,ChIJ-xxP3tXC2hQRQmwe3S4AvxM,2022-08-05,,,,56.0,3.0,0.0,"Seydisehir, Konya",2022-07-22,,,,58.0,-1.0,-3.0,"Seydisehir, Konya",,,,-2.0,4.0,3.0,0,2022-07-22,25.460922534649228,5.005353454850692,2022-08-05,10.0,0.8673867689615721,9.0,0.9,True,1427.752688172043,0,10,6,6,0,2022-07-22,19.480519480519483,2022-08-05,35.714285714285715
5173,5187,54206,639310,639310,2022-07-30,0.0,0.0,31.202715,10.8097515,58.04413,29.139685338187974,Seydisehir,Konya,30,7,2022,"Seydisehir, Konya",738366,0.9686274509803922,58.0,1.0,5cb99cb9-89a9-468f-be5a-169ea7707541,,2022-07-23,5,test,7 days,107737,TR,Turkey,,,,ChIJ-xxP3tXC2hQRQmwe3S4AvxM,2022-07-30,,,98.0,33.0,14.0,,"Seydisehir, Konya",2022-07-23,,,105.0,31.0,8.0,,"Seydisehir, Konya",,,-7.0,2.0,6.0,,1,2022-07-23,26.350104177100068,2.7895811610879058,2022-07-30,10.0,0.8673867689615721,3.0,0.3,True,1427.752688172043,0,10,6,6,0,2022-07-23,3.2467532467532463,2022-07-30,35.064935064935064
5174,5188,54213,639317,639317,2022-08-06,0.0,0.0,30.843405,17.321611,75.181175,29.52903470422472,Seydisehir,Konya,6,7,2022,"Seydisehir, Konya",738373,0.9816993464052288,65.0,1.0,5cb99cb9-89a9-468f-be5a-169ea7707541,,2022-07-23,5,test,14 days,107744,TR,Turkey,,,,ChIJ-xxP3tXC2hQRQmwe3S4AvxM,2022-08-06,,,113.0,12.0,16.0,,"Seydisehir, Konya",2022-07-23,,,105.0,31.0,8.0,,"Seydisehir, Konya",,,8.0,-19.0,8.0,,1,2022-07-23,26.350104177100068,3.1789305271246526,2022-08-06,10.0,0.8673867689615721,10.0,1.0,True,1427.752688172043,0,10,6,6,0,2022-07-23,3.2467532467532463,2022-08-06,51.298701298701296
5175,5189,54207,639311,639311,2022-07-31,0.0,0.0,31.328634,10.69047,49.57076,29.315195165128827,Seydisehir,Konya,31,7,2022,"Seydisehir, Konya",738367,0.976470588235294,59.0,1.0,5cb99cb9-89a9-468f-be5a-169ea7707541,,2022-07-24,6,test,7 days,107738,TR,Turkey,,,,ChIJ-xxP3tXC2hQRQmwe3S4AvxM,2022-07-31,,,108.0,36.0,14.0,,"Seydisehir, Konya",2022-07-24,,,102.0,52.0,6.0,,"Seydisehir, Konya",,,6.0,-16.0,8.0,,1,2022-07-24,25.0918248168424,4.223370348286426,2022-07-31,10.0,0.8673867689615721,4.0,0.4,True,1427.752688172043,0,10,6,6,0,2022-07-24,9.090909090909092,2022-07-31,20.77922077922078
5176,5190,54208,639312,639312,2022-08-01,0.0,0.0,31.180271,12.63089,62.931343,29.406131516155053,Seydisehir,Konya,1,7,2022,"Seydisehir, Konya",738368,0.9777777777777776,60.0,1.0,5cb99cb9-89a9-468f-be5a-169ea7707541,,2022-07-25,0,test,7 days,107739,TR,Turkey,,,,ChIJ-xxP3tXC2hQRQmwe3S4AvxM,2022-08-01,,,,,7.0,-4.0,"Seydisehir, Konya",2022-07-25,,,,,5.0,-3.0,"Seydisehir, Konya",,,,,2.0,-1.0,0,2022-07-25,25.430915213038816,3.9752163031162375,2022-08-01,10.0,0.8673867689615721,5.0,0.5,True,1427.752688172043,0,10,6,6,0,2022-07-25,17.532467532467532,2022-08-01,34.41558441558442
5177,5191,54209,639313,639313,2022-08-02,0.0,0.0,30.109592,13.2520685,70.58727,28.647295633951863,Seydisehir,Konya,2,7,2022,"Seydisehir, Konya",738369,0.9477124183006536,61.0,1.0,5cb99cb9-89a9-468f-be5a-169ea7707541,,2022-07-26,1,test,7 days,107740,TR,Turkey,,,,ChIJ-xxP3tXC2hQRQmwe3S4AvxM,2022-08-02,,,,,21.0,-4.0,"Seydisehir, Konya",2022-07-26,,,,,21.0,-2.0,"Seydisehir, Konya",,,,,0.0,-2.0,0,2022-07-26,26.33521430512782,2.3120813288240427,2022-08-02,10.0,0.8673867689615721,6.0,0.6,True,1427.752688172043,0,10,6,6,0,2022-07-26,13.311688311688311,2022-08-02,38.961038961038966
5178,5192,54215,639334,639334,2022-08-23,0.0,0.0,29.744839,15.828541,85.65747,28.069449204665,Seydisehir,Konya,23,7,2022,"Seydisehir, Konya",738390,0.9137254901960784,67.0,1.0,4cafdd89-c6ae-40b9-9c18-e30221260aff,,2022-07-26,1,test,28 days,107761,TR,Turkey,,,,ChIJ-xxP3tXC2hQRQmwe3S4AvxM,2022-08-23,,,,,26.0,0.0,"Seydisehir, Konya",2022-07-26,,,,,21.0,-2.0,"Seydisehir, Konya",,,,,5.0,2.0,0,2022-07-26,26.33521430512782,1.734234899537178,2022-08-23,2.0,0.07089979137223232,2.0,1.0,False,1427.752688172043,0,10,6,6,0,2022-07-26,13.311688311688311,2022-08-23,54.54545454545454
