,index,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0_x,datetime_heat,number,spatial_ref,t2m,d2m,rh,thi_heat,adm2,adm1,day,month,year,location_x,datetime_ord,pct,level_0,heatwave,heat_ID,Heat Wave Duration_x,control_day,day_of_week,num_iters,diff,Unnamed: 0_y,country_region_code,country_region,metro_area,iso_3166_2_code,census_fips_code,place_id,date_heat,retail_rec_heat,grocery_pharm_heat,parks_heat,transit_heat,workplaces_heat,residential_heat,location_y,date_control,retail_rec_control,grocery_pharm_control,parks_control,transit_control,workplaces_control,residential_control,location,retail_rec_difference,grocery_pharm_difference,parks_difference,transit_difference,workplaces_difference,residential_difference,weekend,datetime_control,thi_control,temp_diff,datetime,Heat Wave Duration_y,dur_ranking,stage,stage_frac,heatwave_dur,mean_elev,coast,HDI_dec,popden_dec,over60_dec,elev_1500m,time_x,rain_standard_control,time_y,rain_standard_heat
0,0,54,720,720,2022-08-09,0.0,0.0,29.780182,20.919098,81.89872,30.68989647759335,Sisli,Istanbul,9,8,2022,"Sisli, Istanbul",738376,0.915032679738562,54.0,1.0,77ee484e-d00d-450d-843e-d46ba3739cdb,2.0,2022-08-02,1,test,7 days,78552,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-09,-17.0,11.0,137.0,16.0,-13.0,-1.0,"Sisli, Istanbul",2022-08-02,-17.0,9.0,143.0,15.0,-11.0,-1.0,"Sisli, Istanbul",0.0,2.0,-6.0,1.0,-2.0,0.0,0,2022-08-02,27.800284491645016,2.889611985948335,2022-08-09,2.0,0.07089979137223232,1.0,0.5,False,90.23529411764706,1,10,10,2,0,2022-08-02,59.09090909090909,2022-08-09,59.74025974025974
1,1,59,734,734,2022-08-23,0.0,0.0,29.653717,23.167633,92.594345,32.622030046251126,Sisli,Istanbul,23,8,2022,"Sisli, Istanbul",738390,0.9790849673202614,59.0,1.0,328df15a-d2e4-416e-ab78-91c178e30d78,,2022-08-02,1,test,21 days,78566,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-23,-15.0,12.0,141.0,19.0,-13.0,2.0,"Sisli, Istanbul",2022-08-02,-17.0,9.0,143.0,15.0,-11.0,-1.0,"Sisli, Istanbul",2.0,3.0,-2.0,4.0,-2.0,3.0,0,2022-08-02,27.800284491645016,4.82174555460611,2022-08-23,3.0,0.22908674877178814,2.0,0.6666666666666666,False,90.23529411764706,1,10,10,2,0,2022-08-02,59.09090909090909,2022-08-23,50.0
2,2,63,741,741,2022-08-30,0.0,0.0,29.947174,23.040192,90.23909,32.35006756252719,Sisli,Istanbul,30,8,2022,"Sisli, Istanbul",738397,0.9738562091503268,63.0,1.0,553d5466-4076-483f-a5ad-3cd2388e28e3,,2022-08-02,1,test,28 days,78573,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-30,-29.0,0.0,153.0,-4.0,-43.0,5.0,"Sisli, Istanbul",2022-08-02,-17.0,9.0,143.0,15.0,-11.0,-1.0,"Sisli, Istanbul",-12.0,-9.0,10.0,-19.0,-32.0,6.0,0,2022-08-02,27.800284491645016,4.549783070882171,2022-08-30,4.0,0.36943939699845213,3.0,0.75,False,90.23529411764706,1,10,10,2,0,2022-08-02,59.09090909090909,2022-08-30,61.038961038961034
3,3,55,721,721,2022-08-10,0.0,0.0,28.902008,20.725983,79.95142,30.647922092013943,Sisli,Istanbul,10,8,2022,"Sisli, Istanbul",738377,0.9084967320261438,55.0,1.0,77ee484e-d00d-450d-843e-d46ba3739cdb,,2022-08-03,2,test,7 days,78553,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-10,-21.0,3.0,139.0,10.0,-16.0,0.0,"Sisli, Istanbul",2022-08-03,-19.0,6.0,167.0,9.0,-13.0,0.0,"Sisli, Istanbul",-2.0,-3.0,-28.0,1.0,-3.0,0.0,0,2022-08-03,28.649779425727047,1.9981426662868955,2022-08-10,2.0,0.07089979137223232,2.0,1.0,False,90.23529411764706,1,10,10,2,0,2022-08-03,66.23376623376623,2022-08-10,87.66233766233766
4,4,56,728,728,2022-08-17,0.0,0.0,29.88736,21.670563,90.22068,31.718004014756985,Sisli,Istanbul,17,8,2022,"Sisli, Istanbul",738384,0.9633986928104576,56.0,1.0,0a169036-e77a-419d-b3ac-7c3c1908cab4,2.0,2022-08-03,2,test,14 days,78560,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-17,-18.0,6.0,164.0,11.0,-16.0,3.0,"Sisli, Istanbul",2022-08-03,-19.0,6.0,167.0,9.0,-13.0,0.0,"Sisli, Istanbul",1.0,0.0,-3.0,2.0,-3.0,3.0,0,2022-08-03,28.649779425727047,3.0682245890299384,2022-08-17,2.0,0.07089979137223232,1.0,0.5,False,90.23529411764706,1,10,10,2,0,2022-08-03,66.23376623376623,2022-08-17,47.4025974025974
5,5,60,735,735,2022-08-24,0.0,0.0,30.076813,23.171173,93.868256,32.45704227023657,Sisli,Istanbul,24,8,2022,"Sisli, Istanbul",738391,0.976470588235294,60.0,1.0,328df15a-d2e4-416e-ab78-91c178e30d78,,2022-08-03,2,test,21 days,78567,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-24,-20.0,7.0,114.0,10.0,-16.0,4.0,"Sisli, Istanbul",2022-08-03,-19.0,6.0,167.0,9.0,-13.0,0.0,"Sisli, Istanbul",-1.0,1.0,-53.0,1.0,-3.0,4.0,0,2022-08-03,28.649779425727047,3.8072628445095233,2022-08-24,3.0,0.22908674877178814,3.0,1.0,False,90.23529411764706,1,10,10,2,0,2022-08-03,66.23376623376623,2022-08-24,72.07792207792207
6,6,64,742,742,2022-08-31,0.0,0.0,28.369537,23.057037,91.39498,31.334754096137203,Sisli,Istanbul,31,8,2022,"Sisli, Istanbul",738398,0.9529411764705882,64.0,1.0,553d5466-4076-483f-a5ad-3cd2388e28e3,,2022-08-03,2,test,28 days,78574,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-31,-21.0,10.0,118.0,7.0,-16.0,2.0,"Sisli, Istanbul",2022-08-03,-19.0,6.0,167.0,9.0,-13.0,0.0,"Sisli, Istanbul",-2.0,4.0,-49.0,-2.0,-3.0,2.0,0,2022-08-03,28.649779425727047,2.6849746704101562,2022-08-31,4.0,0.36943939699845213,4.0,1.0,False,90.23529411764706,1,10,10,2,0,2022-08-03,66.23376623376623,2022-08-31,94.15584415584416
7,7,57,729,729,2022-08-18,0.0,0.0,30.698639,22.36148,93.51532,32.485052744547545,Sisli,Istanbul,18,8,2022,"Sisli, Istanbul",738385,0.9777777777777776,57.0,1.0,0a169036-e77a-419d-b3ac-7c3c1908cab4,,2022-08-11,3,test,7 days,78561,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-18,-15.0,12.0,203.0,15.0,-13.0,2.0,"Sisli, Istanbul",2022-08-11,-21.0,7.0,160.0,5.0,-14.0,1.0,"Sisli, Istanbul",6.0,5.0,43.0,10.0,1.0,1.0,0,2022-08-11,25.86620118882925,6.618851555718294,2022-08-18,2.0,0.07089979137223232,2.0,1.0,False,90.23529411764706,1,10,10,2,0,2022-08-11,89.6103896103896,2022-08-18,60.3896103896104
8,8,58,733,733,2022-08-22,0.0,0.0,30.007965,22.490387,90.905876,31.95394939846466,Sisli,Istanbul,22,8,2022,"Sisli, Istanbul",738389,0.9712418300653596,58.0,1.0,328df15a-d2e4-416e-ab78-91c178e30d78,3.0,2022-08-15,0,test,7 days,78565,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-22,-18.0,10.0,158.0,17.0,-9.0,2.0,"Sisli, Istanbul",2022-08-15,-22.0,2.0,117.0,9.0,-11.0,4.0,"Sisli, Istanbul",4.0,8.0,41.0,8.0,2.0,-2.0,0,2022-08-15,25.71131388346356,6.242635515001098,2022-08-22,3.0,0.22908674877178814,1.0,0.3333333333333333,False,90.23529411764706,1,10,10,2,0,2022-08-15,97.40259740259741,2022-08-22,45.45454545454545
9,9,62,740,740,2022-08-29,0.0,0.0,31.06607,21.782623,94.40387,31.42576005723745,Sisli,Istanbul,29,8,2022,"Sisli, Istanbul",738396,0.9581699346405228,62.0,1.0,553d5466-4076-483f-a5ad-3cd2388e28e3,,2022-08-15,0,test,14 days,78572,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-29,-21.0,10.0,161.0,10.0,-15.0,1.0,"Sisli, Istanbul",2022-08-15,-22.0,2.0,117.0,9.0,-11.0,4.0,"Sisli, Istanbul",1.0,8.0,44.0,1.0,-4.0,-3.0,0,2022-08-15,25.71131388346356,5.71444617377389,2022-08-29,4.0,0.36943939699845213,2.0,0.5,False,90.23529411764706,1,10,10,2,0,2022-08-15,97.40259740259741,2022-08-29,8.441558441558442
10,10,61,739,739,2022-08-28,0.0,0.0,30.67862,21.828522,96.489105,31.07825385199658,Sisli,Istanbul,28,7,2022,"Sisli, Istanbul",738395,0.934640522875817,61.0,1.0,553d5466-4076-483f-a5ad-3cd2388e28e3,4.0,2022-07-24,6,test,35 days,78571,TR,Turkey,,,,ChIJeVlvyIW2yhQR2pizD55HGSU,2022-08-28,-27.0,-12.0,172.0,17.0,2.0,-2.0,"Sisli, Istanbul",2022-07-24,-30.0,-19.0,152.0,14.0,3.0,-4.0,"Sisli, Istanbul",3.0,7.0,20.0,3.0,-1.0,2.0,1,2022-07-24,29.4276258680556,1.6506279839409785,2022-08-28,4.0,0.36943939699845213,1.0,0.25,False,90.23529411764706,1,10,10,2,0,2022-07-24,10.38961038961039,2022-08-28,39.61038961038961
11,11,123,1482,1482,2022-07-27,0.0,0.0,37.930573,15.002838,64.30464,35.53375032213003,Cigli,Izmir,27,7,2022,"Cigli, Izmir",738363,0.9058823529411764,58.0,1.0,be663c44-031f-48b5-98a0-2e49eca1a9d0,3.0,2022-07-20,2,test,7 days,83146,TR,Turkey,,,,ChIJ298zJTzFuxQRjxaUanimuHM,2022-07-27,-3.0,14.0,79.0,39.0,-5.0,-1.0,"Cigli, Izmir",2022-07-20,-1.0,19.0,68.0,38.0,-7.0,-1.0,"Cigli, Izmir",-2.0,-5.0,11.0,1.0,2.0,0.0,0,2022-07-20,31.17100185818145,4.362748463948581,2022-07-27,3.0,0.22908674877178814,1.0,0.3333333333333333,False,56.34123222748815,1,7,10,3,0,2022-07-20,27.27272727272727,2022-07-27,34.41558441558442
12,12,124,1483,1483,2022-07-28,0.0,0.0,39.03238,15.080231,61.872734,37.63741599188916,Cigli,Izmir,28,7,2022,"Cigli, Izmir",738364,0.9882352941176472,59.0,1.0,be663c44-031f-48b5-98a0-2e49eca1a9d0,,2022-07-21,3,test,7 days,83147,TR,Turkey,,,,ChIJ298zJTzFuxQRjxaUanimuHM,2022-07-28,0.0,19.0,55.0,38.0,-7.0,-1.0,"Cigli, Izmir",2022-07-21,2.0,22.0,60.0,34.0,-7.0,-1.0,"Cigli, Izmir",-2.0,-3.0,-5.0,4.0,0.0,0.0,0,2022-07-21,31.91661198933923,5.720804002549933,2022-07-28,3.0,0.22908674877178814,2.0,0.6666666666666666,False,56.34123222748815,1,7,10,3,0,2022-07-21,57.7922077922078,2022-07-28,55.84415584415584
13,13,125,1484,1484,2022-07-29,0.0,0.0,37.277252,17.846588,71.74219,36.536547342936245,Cigli,Izmir,29,7,2022,"Cigli, Izmir",738365,0.9555555555555556,60.0,1.0,be663c44-031f-48b5-98a0-2e49eca1a9d0,,2022-07-22,4,test,7 days,83148,TR,Turkey,,,,ChIJ298zJTzFuxQRjxaUanimuHM,2022-07-29,-1.0,18.0,55.0,29.0,-5.0,0.0,"Cigli, Izmir",2022-07-22,-3.0,21.0,54.0,25.0,-7.0,0.0,"Cigli, Izmir",2.0,-3.0,1.0,4.0,2.0,0.0,0,2022-07-22,33.03756078084314,3.4989865620931084,2022-07-29,3.0,0.22908674877178814,3.0,1.0,False,56.34123222748815,1,7,10,3,0,2022-07-22,38.961038961038966,2022-07-29,60.3896103896104
14,14,170,2269,2269,2022-08-08,0.0,0.0,29.086937,21.158503,87.33621,30.07938130696618,Sile,Istanbul,8,8,2022,"Sile, Istanbul",738375,0.9006535947712418,44.0,1.0,26a51243-a384-47e6-b465-2978949928a6,3.0,2022-08-01,0,test,7 days,77975,TR,Turkey,,,,ChIJ9UhbjOEunkARWwD_Tc7Np-w,2022-08-08,,,,,35.0,5.0,"Sile, Istanbul",2022-08-01,,,,,36.0,5.0,"Sile, Istanbul",,,,,-1.0,0.0,0,2022-08-01,28.064043115686527,2.0153381912796533,2022-08-08,3.0,0.22908674877178814,1.0,0.3333333333333333,False,126.26238830219334,1,10,6,7,0,2022-08-01,71.42857142857143,2022-08-08,68.83116883116884
15,15,171,2270,2270,2022-08-09,0.0,0.0,29.238337,21.25702,85.26509,30.48673615632237,Sile,Istanbul,9,8,2022,"Sile, Istanbul",738376,0.9281045751633988,45.0,1.0,26a51243-a384-47e6-b465-2978949928a6,,2022-08-02,1,test,7 days,77976,TR,Turkey,,,,ChIJ9UhbjOEunkARWwD_Tc7Np-w,2022-08-09,,,,,40.0,4.0,"Sile, Istanbul",2022-08-02,,,,,33.0,5.0,"Sile, Istanbul",,,,,7.0,-1.0,0,2022-08-02,27.06578063964848,3.4209555166738888,2022-08-09,3.0,0.22908674877178814,2.0,0.6666666666666666,False,126.26238830219334,1,10,6,7,0,2022-08-02,58.44155844155844,2022-08-09,64.28571428571429
16,16,176,2284,2284,2022-08-23,0.0,0.0,30.103586,23.04916,91.82797,33.1457109804507,Sile,Istanbul,23,8,2022,"Sile, Istanbul",738390,0.9856209150326798,50.0,1.0,7b5f6abb-f9af-4ae6-be05-a04068974f8a,,2022-08-02,1,test,21 days,77990,TR,Turkey,,,,ChIJ9UhbjOEunkARWwD_Tc7Np-w,2022-08-23,,,,,56.0,6.0,"Sile, Istanbul",2022-08-02,,,,,33.0,5.0,"Sile, Istanbul",,,,,23.0,1.0,0,2022-08-02,27.06578063964848,6.079930340802221,2022-08-23,3.0,0.22908674877178814,2.0,0.6666666666666666,False,126.26238830219334,1,10,6,7,0,2022-08-02,58.44155844155844,2022-08-23,48.05194805194805
17,17,180,2291,2291,2022-08-30,0.0,0.0,29.95025,22.771132,89.670944,32.41941579182946,Sile,Istanbul,30,8,2022,"Sile, Istanbul",738397,0.9816993464052288,54.0,1.0,6f4920ce-137a-4cce-8472-e927d77be259,,2022-08-02,1,test,28 days,77997,TR,Turkey,,,,ChIJ9UhbjOEunkARWwD_Tc7Np-w,2022-08-30,,,,,27.0,10.0,"Sile, Istanbul",2022-08-02,,,,,33.0,5.0,"Sile, Istanbul",,,,,-6.0,5.0,0,2022-08-02,27.06578063964848,5.353635152180978,2022-08-30,4.0,0.36943939699845213,3.0,0.75,False,126.26238830219334,1,10,6,7,0,2022-08-02,58.44155844155844,2022-08-30,65.5844155844156
18,18,172,2271,2271,2022-08-10,0.0,0.0,28.58949,20.902643,84.876755,30.22212784378621,Sile,Istanbul,10,8,2022,"Sile, Istanbul",738377,0.9137254901960784,46.0,1.0,26a51243-a384-47e6-b465-2978949928a6,,2022-08-03,2,test,7 days,77977,TR,Turkey,,,,ChIJ9UhbjOEunkARWwD_Tc7Np-w,2022-08-10,,,,,39.0,5.0,"Sile, Istanbul",2022-08-03,,,,,36.0,5.0,"Sile, Istanbul",,,,,3.0,0.0,0,2022-08-03,28.47038890697341,1.7517389368127994,2022-08-10,3.0,0.22908674877178814,3.0,1.0,False,126.26238830219334,1,10,6,7,0,2022-08-03,63.63636363636363,2022-08-10,79.87012987012987
19,19,173,2278,2278,2022-08-17,0.0,0.0,30.692453,20.676992,88.64775,31.569623028790545,Sile,Istanbul,17,8,2022,"Sile, Istanbul",738384,0.9699346405228758,47.0,1.0,bd7f5811-25ac-49c1-a220-edb499731e53,2.0,2022-08-03,2,test,14 days,77984,TR,Turkey,,,,ChIJ9UhbjOEunkARWwD_Tc7Np-w,2022-08-17,,,,,50.0,7.0,"Sile, Istanbul",2022-08-03,,,,,36.0,5.0,"Sile, Istanbul",,,,,14.0,2.0,0,2022-08-03,28.47038890697341,3.0992341218171333,2022-08-17,2.0,0.07089979137223232,1.0,0.5,False,126.26238830219334,1,10,6,7,0,2022-08-03,63.63636363636363,2022-08-17,59.09090909090909
20,20,177,2285,2285,2022-08-24,0.0,0.0,30.011333,22.965973,95.60371,32.05221896701393,Sile,Istanbul,24,8,2022,"Sile, Istanbul",738391,0.9790849673202614,51.0,1.0,7b5f6abb-f9af-4ae6-be05-a04068974f8a,,2022-08-03,2,test,21 days,77991,TR,Turkey,,,,ChIJ9UhbjOEunkARWwD_Tc7Np-w,2022-08-24,,,,,58.0,9.0,"Sile, Istanbul",2022-08-03,,,,,36.0,5.0,"Sile, Istanbul",,,,,22.0,4.0,0,2022-08-03,28.47038890697341,3.5818300600405166,2022-08-24,3.0,0.22908674877178814,3.0,1.0,False,126.26238830219334,1,10,6,7,0,2022-08-03,63.63636363636363,2022-08-24,69.48051948051948
21,21,181,2292,2292,2022-08-31,0.0,0.0,28.376879,22.91734,91.80973,31.13035866066265,Sile,Istanbul,31,8,2022,"Sile, Istanbul",738398,0.954248366013072,55.0,1.0,6f4920ce-137a-4cce-8472-e927d77be259,,2022-08-03,2,test,28 days,77998,TR,Turkey,,,,ChIJ9UhbjOEunkARWwD_Tc7Np-w,2022-08-31,,,,,67.0,8.0,"Sile, Istanbul",2022-08-03,,,,,36.0,5.0,"Sile, Istanbul",,,,,31.0,3.0,0,2022-08-03,28.47038890697341,2.6599697536892393,2022-08-31,4.0,0.36943939699845213,4.0,1.0,False,126.26238830219334,1,10,6,7,0,2022-08-03,63.63636363636363,2022-08-31,90.25974025974025
22,22,174,2279,2279,2022-08-18,0.0,0.0,31.016607,21.867079,90.21949,31.476560804579027,Sile,Istanbul,18,8,2022,"Sile, Istanbul",738385,0.9660130718954248,48.0,1.0,bd7f5811-25ac-49c1-a220-edb499731e53,,2022-08-11,3,test,7 days,77985,TR,Turkey,,,,ChIJ9UhbjOEunkARWwD_Tc7Np-w,2022-08-18,,,,,49.0,7.0,"Sile, Istanbul",2022-08-11,,,,,35.0,8.0,"Sile, Istanbul",,,,,14.0,-1.0,0,2022-08-11,25.56065622965498,5.9159045749240455,2022-08-18,2.0,0.07089979137223232,2.0,1.0,False,126.26238830219334,1,10,6,7,0,2022-08-11,95.45454545454545,2022-08-18,31.818181818181817
23,23,175,2283,2283,2022-08-22,0.0,0.0,29.617502,22.303278,90.47382,31.51892994068292,Sile,Istanbul,22,8,2022,"Sile, Istanbul",738389,0.9686274509803922,49.0,1.0,7b5f6abb-f9af-4ae6-be05-a04068974f8a,3.0,2022-08-15,0,test,7 days,77989,TR,Turkey,,,,ChIJ9UhbjOEunkARWwD_Tc7Np-w,2022-08-22,,,,,57.0,8.0,"Sile, Istanbul",2022-08-15,,,,,42.0,,"Sile, Istanbul",,,,,15.0,,0,2022-08-15,25.586155926739767,5.932774013943153,2022-08-22,3.0,0.22908674877178814,1.0,0.3333333333333333,False,126.26238830219334,1,10,6,7,0,2022-08-15,96.1038961038961,2022-08-22,44.15584415584416
24,24,179,2290,2290,2022-08-29,0.0,0.0,30.117975,21.453798,95.51578,30.77312921594694,Sile,Istanbul,29,8,2022,"Sile, Istanbul",738396,0.9437908496732026,53.0,1.0,6f4920ce-137a-4cce-8472-e927d77be259,,2022-08-15,0,test,14 days,77996,TR,Turkey,,,,ChIJ9UhbjOEunkARWwD_Tc7Np-w,2022-08-29,,,,,56.0,6.0,"Sile, Istanbul",2022-08-15,,,,,42.0,,"Sile, Istanbul",,,,,14.0,,0,2022-08-15,25.586155926739767,5.186973289207174,2022-08-29,4.0,0.36943939699845213,2.0,0.5,False,126.26238830219334,1,10,6,7,0,2022-08-15,96.1038961038961,2022-08-29,12.337662337662337
25,25,178,2289,2289,2022-08-28,0.0,0.0,29.563303,21.293024,96.21406,30.44371202256948,Sile,Istanbul,28,8,2022,"Sile, Istanbul",738395,0.9267973856209152,52.0,1.0,6f4920ce-137a-4cce-8472-e927d77be259,4.0,2022-08-07,6,test,21 days,77995,TR,Turkey,,,,ChIJ9UhbjOEunkARWwD_Tc7Np-w,2022-08-28,203.0,,,,67.0,,"Sile, Istanbul",2022-08-07,,,,,39.0,,"Sile, Istanbul",,,,,28.0,,1,2022-08-07,28.810204117386466,1.6335079051830128,2022-08-28,4.0,0.36943939699845213,1.0,0.25,False,126.26238830219334,1,10,6,7,0,2022-08-07,75.32467532467533,2022-08-28,15.584415584415584
26,26,435,5347,5347,2022-07-17,0.0,0.0,37.9783,18.073973,85.615036,35.67160779272608,Sahinbey,Gaziantep,17,7,2022,"Sahinbey, Gaziantep",738353,0.9359477124183008,49.0,1.0,f22b61ee-398d-491b-a469-00d9d38dc98a,3.0,2022-07-10,6,test,7 days,59493,TR,Turkey,,,,ChIJ_XTzfDgmLhUR7C__tu1DwEA,2022-07-17,32.0,74.0,70.0,92.0,8.0,0.0,"Sahinbey, Gaziantep",2022-07-10,1.0,70.0,53.0,83.0,-35.0,-4.0,"Sahinbey, Gaziantep",31.0,4.0,17.0,9.0,43.0,4.0,1,2022-07-10,30.36059173227057,5.311016060455508,2022-07-17,3.0,0.22908674877178814,1.0,0.3333333333333333,False,837.9005681818181,0,1,10,1,0,2022-07-10,60.3896103896104,2022-07-17,45.45454545454545
27,27,436,5348,5348,2022-07-18,0.0,0.0,38.11734,15.639981,65.61205,35.35084669037089,Sahinbey,Gaziantep,18,7,2022,"Sahinbey, Gaziantep",738354,0.9137254901960784,50.0,1.0,f22b61ee-398d-491b-a469-00d9d38dc98a,,2022-07-11,0,test,7 days,59494,TR,Turkey,,,,ChIJ_XTzfDgmLhUR7C__tu1DwEA,2022-07-18,42.0,103.0,114.0,147.0,20.0,1.0,"Sahinbey, Gaziantep",2022-07-11,20.0,76.0,118.0,111.0,-76.0,7.0,"Sahinbey, Gaziantep",22.0,27.0,-4.0,36.0,,-6.0,0,2022-07-11,32.723610638177924,2.6272360521929627,2022-07-18,3.0,0.22908674877178814,2.0,0.6666666666666666,False,837.9005681818181,0,1,10,1,0,2022-07-11,6.493506493506493,2022-07-18,2.5974025974025974
28,28,437,5349,5349,2022-07-19,0.0,0.0,38.282368,15.527677,64.38926,35.78088806424708,Sahinbey,Gaziantep,19,7,2022,"Sahinbey, Gaziantep",738355,0.9424836601307188,51.0,1.0,f22b61ee-398d-491b-a469-00d9d38dc98a,,2022-07-12,1,test,7 days,59495,TR,Turkey,,,,ChIJ_XTzfDgmLhUR7C__tu1DwEA,2022-07-19,39.0,99.0,94.0,121.0,23.0,12.0,"Sahinbey, Gaziantep",2022-07-12,26.0,73.0,118.0,119.0,-72.0,9.0,"Sahinbey, Gaziantep",13.0,26.0,-24.0,2.0,,3.0,0,2022-07-12,33.268616213436054,2.5122718508110253,2022-07-19,3.0,0.22908674877178814,3.0,1.0,False,837.9005681818181,0,1,10,1,0,2022-07-12,36.36363636363637,2022-07-19,30.519480519480517
29,29,438,5358,5358,2022-07-28,0.0,0.0,39.160915,15.750911,73.8944,35.88146415021688,Sahinbey,Gaziantep,28,7,2022,"Sahinbey, Gaziantep",738364,0.9437908496732026,52.0,1.0,39cb5b62-2cf5-486f-bba2-bfe1d600184e,2.0,2022-07-21,3,test,7 days,59504,TR,Turkey,,,,ChIJ_XTzfDgmLhUR7C__tu1DwEA,2022-07-28,34.0,104.0,112.0,138.0,25.0,1.0,"Sahinbey, Gaziantep",2022-07-21,38.0,100.0,93.0,139.0,24.0,1.0,"Sahinbey, Gaziantep",-4.0,4.0,19.0,-1.0,1.0,0.0,0,2022-07-21,33.07201006259141,2.8094540876254683,2022-07-28,2.0,0.07089979137223232,1.0,0.5,False,837.9005681818181,0,1,10,1,0,2022-07-21,55.1948051948052,2022-07-28,50.0
30,30,444,5365,5365,2022-08-04,0.0,0.0,39.426346,21.39692,90.52866,38.04444541708075,Sahinbey,Gaziantep,4,7,2022,"Sahinbey, Gaziantep",738371,0.9947712418300654,58.0,1.0,e751e825-391c-4072-bc94-69d007ff8db1,,2022-07-21,3,test,14 days,59511,TR,Turkey,,,,ChIJ_XTzfDgmLhUR7C__tu1DwEA,2022-08-04,36.0,105.0,114.0,145.0,25.0,1.0,"Sahinbey, Gaziantep",2022-07-21,38.0,100.0,93.0,139.0,24.0,1.0,"Sahinbey, Gaziantep",-2.0,5.0,21.0,6.0,1.0,0.0,0,2022-07-21,33.07201006259141,4.972435354489342,2022-08-04,7.0,0.7154922942324518,5.0,0.7142857142857143,True,837.9005681818181,0,1,10,1,0,2022-07-21,55.1948051948052,2022-08-04,44.8051948051948
31,31,439,5359,5359,2022-07-29,0.0,0.0,39.422157,16.713404,73.5199,36.18272406092647,Sahinbey,Gaziantep,29,7,2022,"Sahinbey, Gaziantep",738365,0.9594771241830066,53.0,1.0,39cb5b62-2cf5-486f-bba2-bfe1d600184e,,2022-07-22,4,test,7 days,59505,TR,Turkey,,,,ChIJ_XTzfDgmLhUR7C__tu1DwEA,2022-07-29,33.0,113.0,111.0,148.0,25.0,1.0,"Sahinbey, Gaziantep",2022-07-22,39.0,109.0,107.0,136.0,24.0,1.0,"Sahinbey, Gaziantep",-6.0,4.0,4.0,12.0,1.0,0.0,0,2022-07-22,32.298439132888454,3.8842849280380136,2022-07-29,2.0,0.07089979137223232,2.0,1.0,False,837.9005681818181,0,1,10,1,0,2022-07-22,40.25974025974026,2022-07-29,62.98701298701299
32,32,445,5366,5366,2022-08-05,0.0,0.0,38.82958,21.540064,91.75742,38.63003312495721,Sahinbey,Gaziantep,5,7,2022,"Sahinbey, Gaziantep",738372,0.9973856209150328,59.0,1.0,e751e825-391c-4072-bc94-69d007ff8db1,,2022-07-22,4,test,14 days,59512,TR,Turkey,,,,ChIJ_XTzfDgmLhUR7C__tu1DwEA,2022-08-05,37.0,113.0,115.0,148.0,23.0,1.0,"Sahinbey, Gaziantep",2022-07-22,39.0,109.0,107.0,136.0,24.0,1.0,"Sahinbey, Gaziantep",-2.0,4.0,8.0,12.0,-1.0,0.0,0,2022-07-22,32.298439132888454,6.331593992068754,2022-08-05,7.0,0.7154922942324518,6.0,0.8571428571428571,True,837.9005681818181,0,1,10,1,0,2022-07-22,40.25974025974026,2022-08-05,51.298701298701296
33,33,447,5373,5373,2022-08-12,0.0,0.0,36.749897,20.396496,89.63319,35.96030542027884,Sahinbey,Gaziantep,12,7,2022,"Sahinbey, Gaziantep",738379,0.94640522875817,61.0,1.0,4e5c0076-70ee-4b05-8a45-bb05781b391c,2.0,2022-07-22,4,test,21 days,59519,TR,Turkey,,,,ChIJ_XTzfDgmLhUR7C__tu1DwEA,2022-08-12,38.0,108.0,122.0,146.0,26.0,0.0,"Sahinbey, Gaziantep",2022-07-22,39.0,109.0,107.0,136.0,24.0,1.0,"Sahinbey, Gaziantep",-1.0,-1.0,15.0,10.0,2.0,-1.0,0,2022-07-22,32.298439132888454,3.6618662873903887,2022-08-12,2.0,0.07089979137223232,1.0,0.5,False,837.9005681818181,0,1,10,1,0,2022-07-22,40.25974025974026,2022-08-12,18.83116883116883
